"","k_1","k_2","k_3","f_1","f_2","f_3"
"id3275",21.6585623714204,25.2016133176449,25.0929780006281,37.8536220886997,36.4165082744941,33.9079527448798
"id3276",1101.74391815802,1058.04365758076,659.943152619804,875.322135640242,812.021409857428,812.273316108341
"id3277",8.15728904998766,16.9803858608996,24.7546537159191,12.0390604116468,13.6465612112581,9.2737183543626
"id3278",89.8860587802735,98.277687442614,54.384204243669,146.873580059884,159.02337779479,145.854061439373
"id3279",75.6931475256919,70.5181969552998,96.0993824725871,106.270373900248,110.45546159393,107.549136302745
"id3280",38.8673460974772,39.8179714663034,76.1333588574768,68.1372278628329,73.669752076639,72.0925875223725
"id3281",122.604669913824,113.663811165825,36.0585738612141,157.851402025829,169.214619051928,174.950142326523
"id3282",1514.29727475255,1511.93813458974,1004.57334906344,2479.0095487025,2597.36514645313,2683.57832266454
"id3283",48.7305222101294,49.3609300901483,34.6350522218891,130.385801835158,114.101311502387,106.267297511149
"id3284",39.8891572429607,43.6087677560358,80.125795985603,46.4303945033653,45.8157142840357,48.7437296471594
"id3285",433.12015048789,377.626920097734,536.4015310285,317.672786177848,306.670418866018,326.319763832133
"id3286",146.483166018259,143.95721028231,216.498839484278,163.390821256607,174.446349918399,175.691465318717
"id3287",28.8850370443737,27.1526251382432,19.1724995041935,32.3218983935908,34.887683281849,28.9460529662173
"id3288",20.3009359571944,19.0171400302893,2.65743950719401,14.385635904028,13.236470334935,12.3964183471871
"id3289",417.690190372538,384.24379679034,198.648335589272,196.272619612585,186.891270263043,160.981782097468
"id3290",118.18058081682,125.858682973623,53.9619666330816,120.200513688915,107.444442185169,103.967766872168
"id3291",166.766472455274,188.302606335937,110.0840119898,220.518235639815,197.615787605677,186.396260356528
"id3292",19.2228289786666,17.1266885253283,8.10696212327986,22.2781573197344,25.1420360149866,19.4007504561497
"id3293",13.1471090039555,16.7775691941832,36.6394040251297,31.2626564851075,36.0925107929074,33.5738021373192
"id3294",4.99888336856243,4.65425021782274,13.4156404454844,7.08324455666822,8.27132454655298,6.70258424196917
